AFFGEOID,County Name,Total Pop,Total Pop Under 18,Pct_Below_Poverty,Pct_Below_Poverty_U18,Pct_Below_Poverty_65Over,Pct_Below_Poverty_Male,Pct_Below_Poverty_Female
0500000US28081,"Lee County, Mississippi",81802,20349,12.1,10.3,9.4,10.2,13.7
0500000US28089,"Madison County, Mississippi",109376,26183,9.7,11.1,8.1,8,11.4
0500000US28121,"Rankin County, Mississippi",153081,34767,9.6,13.9,6.9,7.8,11.2
0500000US29019,"Boone County, Missouri",178029,36493,17.5,13,11,15.9,19
0500000US29021,"Buchanan County, Missouri",79243,17670,19.1,24.8,12.7,19,19.3
0500000US29031,"Cape Girardeau County, Missouri",78680,15968,15.6,22.2,14.9,12.2,18.8
0500000US29037,"Cass County, Missouri",109402,25376,8.8,12.8,7.6,6.9,10.7
0500000US29043,"Christian County, Missouri",92408,23362,7.7,6.8,8.9,7.8,7.5
0500000US29047,"Clay County, Missouri",254332,59739,7.6,7.2,8.2,6.6,8.6
0500000US29051,"Cole County, Missouri",73327,16321,8.5,14.1,6.2,9,8.1
0500000US29071,"Franklin County, Missouri",104401,22899,7.9,7.7,6.9,7.9,8
0500000US29077,"Greene County, Missouri",293678,61150,15.3,18.1,11.6,14.8,15.9
0500000US29095,"Jackson County, Missouri",705239,160654,15,20.5,12.9,12.9,17.1
0500000US29097,"Jasper County, Missouri",121388,29365,19.2,30.7,12.5,17.6,20.6
0500000US29099,"Jefferson County, Missouri",226509,49943,8.8,9.1,9.9,8.5,9
0500000US29165,"Platte County, Missouri",109535,25366,11.1,16.9,12.2,10.6,11.6
0500000US29183,"St. Charles County, Missouri",406873,91375,4.9,5.6,6.9,4.2,5.5
0500000US29187,"St. Francois County, Missouri",61617,13947,20.2,26.7,18.5,21.5,18.9
0500000US29189,"St. Louis County, Missouri",968287,211314,10.4,15,8.6,9.6,11.2
0500000US29510,"St. Louis city, Missouri",275622,49154,20.4,32.4,18.5,19.2,21.5
0500000US30013,"Cascade County, Montana",82327,18332,14.9,21.7,15.4,15.3,14.5
0500000US30029,"Flathead County, Montana",110642,24114,11.6,12.4,16,10.6,12.6
0500000US30031,"Gallatin County, Montana",121001,23191,10.7,7.6,5.7,10.9,10.3
0500000US30049,"Lewis and Clark County, Montana",72714,15286,8.7,5.4,13.9,6.5,11
0500000US30063,"Missoula County, Montana",118465,21437,7.9,3.7,11.5,7.2,8.6
0500000US30111,"Yellowstone County, Montana",166249,37494,8.5,8.2,11,7.8,9.2
0500000US31055,"Douglas County, Nebraska",575965,144264,12.1,15.4,7.9,11.4,12.8
0500000US31109,"Lancaster County, Nebraska",310936,70089,12.9,15,8.4,11,14.9
0500000US31153,"Sarpy County, Nebraska",195155,50677,5.9,7.2,8.4,5.4,6.5
0500000US32003,"Clark County, Nevada",2303122,508900,13.1,17.6,11.1,11.7,14.4
0500000US32031,"Washoe County, Nevada",489465,100157,10.2,9.8,9,9.4,11.1
0500000US33005,"Cheshire County, New Hampshire",74259,13187,7.8,5.3,6.4,6.4,9.1
0500000US33009,"Grafton County, New Hampshire",84938,13758,11,9.9,9.9,11.8,10.2
0500000US33011,"Hillsborough County, New Hampshire",419581,81685,6.2,6.2,7.8,4.8,7.6
0500000US33013,"Merrimack County, New Hampshire",149643,27901,6.8,5.4,8.2,6.2,7.4
0500000US33015,"Rockingham County, New Hampshire",317164,57576,5.2,5,6.1,4,6.4
0500000US33017,"Strafford County, New Hampshire",125889,23075,8.6,6.7,8.9,7.7,9.6
0500000US34001,"Atlantic County, New Jersey",270898,56579,11,15,11.4,11.3,10.8
0500000US34003,"Bergen County, New Jersey",942622,194277,7.1,9,8.2,6.2,8
0500000US34005,"Burlington County, New Jersey",454955,93863,6.6,8.9,5.6,6,7.2
0500000US34007,"Camden County, New Jersey",518815,117219,12.8,18.6,11.3,11.5,14
0500000US34009,"Cape May County, New Jersey",94590,15740,9.2,8.2,5.7,11.3,7.2
0500000US34011,"Cumberland County, New Jersey",144645,35511,15.3,20.1,12.6,14.9,15.7
0500000US34013,"Essex County, New Jersey",832635,195921,15.7,20.7,17.3,14,17.4
0500000US34015,"Gloucester County, New Jersey",300124,64080,7.6,6.7,10.9,5.7,9.4
0500000US34017,"Hudson County, New Jersey",695197,137202,14.4,17.3,18.3,13.4,15.4
0500000US34019,"Hunterdon County, New Jersey",127614,24098,3.6,4.9,3.1,3.1,4.1
0500000US34021,"Mercer County, New Jersey",363567,80271,10.9,13.6,11,9.8,11.8
0500000US34023,"Middlesex County, New Jersey",835763,179903,8.4,9.2,10.3,7.7,9
0500000US34025,"Monmouth County, New Jersey",638090,130719,6.1,5.8,7.1,5.2,6.9
0500000US34027,"Morris County, New Jersey",503055,102381,4.1,3.8,6.3,3.1,5.1
0500000US34029,"Ocean County, New Jersey",649023,160573,11.7,20,8.2,11.3,12.1
0500000US34031,"Passaic County, New Jersey",505199,118642,12.3,17.3,14.5,10.8,13.8
0500000US34033,"Salem County, New Jersey",63858,12729,10.5,14.9,11.9,11.6,9.4
0500000US34035,"Somerset County, New Jersey",344059,71765,4.9,5.9,5.8,4.2,5.6
