UID,ENG COMP Placement,Course Preference,Post-AWPE Survey,H/L/A,Unweighted GPA
806247398,3,3,44,A,4
606228744,3,3,44,A,4
106236497,3,3,44,A,0
906184908,3,3,44,A,4
606276283,3,3,44,A,4
706212455,3,3,44,A,3.76
206247400,3,3,44,A,3.92
306223371,3,3,44,A,3.92
6271976,3,3,44,A,3.85
506164455,3,3,44,A,4
606005041,3,3,44,A,4
506139201,3,3,44,A,4
706236833,3,3,44,A,4
606169872,3,3,44,A,3.86
306175935,3,3,44,A,4
206221443,3,3,44,A,3.8
806142532,3,3,44,A,4
906187445,3,3,45,A,4
306240851,3,3,45,A,3.95
806137998,3,3,45,A,4
306156319,3,3,45,A,0
706219027,3,3,45,A,4
106244459,3,3,45,A,3.91
806125603,3,3,45,A,4
6274932,3,3,45,A,4
306206507,3,3,45,A,3.92
806111979,3,3,45,A,4
906157066,3,3,45,A,4
106119455,3,3,45,A,4
406243496,3,3,45,A,4
306280149,3,3,45,A,4
106200097,3,3,45,A,3.93
706139375,3,3,45,A,4
6149212,3,3,45,A,4
106291479,3,3,45,A,4
506268311,3,3,45,A,3.95
306133993,3,3,45,A,3.91
106214457,3,3,45,A,3.54
6225456,3,3,45,A,3.73
606186819,3,3,45,A,4
906170609,3,3,45,A,4
906235644,3,3,45,A,4
306250717,3,3,45,A,4
806247954,3,3,45,A,3.98
405332747,3,3,45,A,0
406054754,3,3,45,A,3.93
606175236,3,3,45,A,3.96
106102394,3,3,45,A,NA
806112436,3,3,46,A,3.96
206213396,3,3,46,A,3.85
606278220,3,3,46,A,4
6215933,3,3,46,A,3.84
406206644,3,3,46,A,3.96
306171107,3,3,46,A,3.95
606247667,3,3,46,A,4
506203744,3,3,46,A,4
906235955,3,3,46,A,3.75
806227395,3,3,46,A,4
206245750,3,3,46,A,4
206126733,3,3,46,A,3.57
106133611,3,3,46,A,4
6134908,3,3,46,A,4
806091924,3,3,46,A,3.13
406142402,3,3,46,A,3.93
606209458,3,3,47,A,4
906252803,3,3,47,A,4
6222844,3,3,47,A,3.89
606150368,3,3,47,A,3.79
6156368,3,3,47,A,4
406245725,3,3,47,A,3.71
206131598,3,3,47,A,4
506112206,3,3,47,A,4
106160435,3,3,47,A,4
406226977,3,3,47,A,3.81
506104206,3,3,47,A,4
106111218,3,3,47,A,4
706249840,3,3,47,A,4
706243975,3,3,47,A,4
106133545,3,3,47,A,3.9
906160002,3,3,47,A,3.92
706139808,3,3,48,A,4
206209926,3,3,48,A,4
706253573,3,3,48,A,4
506172709,3,1,25,L,4
706263138,3,2,26,L,3.42
206208818,3,2,26,L,3.9
6243610,3,2,26,L,3.96
6188067,3,2,27,L,3.89
406259996,3,2,27,L,4
6200149,3,2,28,L,3.93
406156314,3,2,28,L,3.82
606196408,3,2,28,L,3.87
906134602,3,2,28,L,4
606149780,3,4,28,L,4
706209721,3,1,29,L,3.92
906143885,3,2,29,L,0
906224495,3,2,29,L,4
706293550,3,2,29,L,3.95
106273526,3,5,29,L,3.96
106131462,3,1,30,L,4
806198722,3,2,30,L,4
206193039,3,1,30,L,3.96
706156416,3,2,30,L,4
706208477,3,2,30,L,3.82
106251911,3,4,30,L,4
6275333,3,1,31,L,3.92
506225699,3,2,31,L,3.56
906135201,3,2,31,L,3.5
706236791,3,2,31,L,4
6265386,3,2,31,L,4
6252789,3,2,31,L,3.88
106245072,3,1,31,L,4
6247991,3,2,31,L,4
106162175,3,2,32,L,4
806159985,3,2,32,L,3.69
306293420,3,2,32,L,0
6222146,3,1,32,L,4
206217790,3,1,32,L,3.95
106217762,3,2,32,L,3.65
306197522,3,2,33,L,3.83
706147158,3,2,33,L,3.95
306267379,3,1,33,L,3.88
806139068,3,1,33,L,4
706138955,3,1,33,L,4
806264651,3,2,33,L,4
206130688,3,2,33,L,3.94
206132300,3,2,33,L,3.29
406207865,3,2,33,L,NA
906211011,3,4,33,L,4
706196403,3,1,34,L,4
206149635,3,2,34,L,3.95
906274584,3,2,34,L,3.69
406197362,3,2,34,L,3.82
906151502,3,2,34,L,4
406213220,3,2,34,L,4
306208078,3,2,34,L,4
506206926,3,2,34,L,3.88
606267325,3,2,34,L,4
106171542,3,2,34,L,3.9
206160246,3,2,34,L,4
106267498,3,1,34,L,4
306161896,3,2,34,L,3.88
906168404,3,2,34,L,3.96
906148213,3,2,34,L,3.83
306130640,3,2,34,L,3.96
906198298,3,2,34,L,4
806143188,3,2,34,L,3.96
406134992,3,2,34,L,4
206210246,3,1,35,L,3.89
606207911,3,1,35,L,3.95
106159917,3,1,35,L,3.91
206163787,3,1,35,L,4
605623458,3,2,35,L,3.95
106155226,3,2,35,L,0
706176773,3,2,35,L,3.53
6112096,3,2,35,L,3.95
706155412,3,2,35,L,3.96
6260497,3,2,35,L,4
606212776,3,2,35,L,4
306128388,3,2,35,L,4
206174583,3,2,35,L,3.57
606172681,3,2,35,L,3.63
306249856,3,2,35,L,3.82
