"name","address","city","state","zip"
"LAGUNA NIGUEL (AVERY PKWY.)","28782 CAMINO CAPISTRANO","SAN JUAN CAPISTRANO","CA",92675
"PLACENTIA","825 W. CHAPMAN","PLACENTIA","CA",92870
"TUSTIN","3020 EL CAMINO REAL","TUSTIN","CA",92782
"HUNTINGTON BEACH","18062 BEACH BLVD","HUNTINGTON BEACH","CA",92648
"TUSTIN (DISTRICT)","2895 PARK AVENUE","TUSTIN","CA",92782
"SANTA CLARA","3001 MISSION COLLEGE","SANTA CLARA","CA",95054
"LAS VEGAS (CENTENNIAL)","5690 CENTENNIAL CTR","LAS VEGAS","NV",89149
"BARSTOW","2821 LENWOOD RD","BARSTOW","CA",92311
"AUBURN","130 GRASS VALLEY HWY","AUBURN","CA",95603
"CARMEL MOUNTAIN","11880 CARMEL MT RD","CARMEL MOUNTAIN","CA",92128
"AMERICAN FORK","601 WEST MAIN ST.","AMERICAN FORK","UT",84003
"SIMI VALLEY","2600 STEARNS","SIMI VALLEY","CA",93063
"PARADISE VALLEY","12413 N. TATUM","PHOENIX","AZ",85032
"MESA (ALMA SCHOOL RD.)","1342 SOUTH ALMA ROAD","MESA","AZ",85210
"VICTORVILLE","15290 CIVIC DRIVE","VICTORVILLE","CA",92394
"SAN JOSE","550 NEWHALL DRIVE","SAN JOSE","CA",95110
"NORTH LAS VEGAS","2765 E CRAIG RD.","NORTH LAS VEGAS","NV",89030
"PHOENIX (METRO SQUARE)","2770 W. PEORIA AVE.","PHOENIX","AZ",85029
"POWAY","12890 GREGG COURT","POWAY","CA",92064
"SANTA ROSA","2131 COUNTY CENTER DRIVE","SANTA ROSA","CA",95403
"COSTA MESA","3211 HARBOR BLVD","COSTA MESA","CA",92626
"MOUNTAIN VIEW (RENGSTORFF)","1159 N RENGSTORFF","MOUNTAIN VIEW","CA",94043
"NEWBURY PARK","1550 NEWBURY RD","NEWBURY PARK","CA",91320
"TUCSON","1978 E. AJO WAY","TUCSON","AZ",85713
"EL CENTRO","2390 S. 4TH STREET","EL CENTRO","CA",92243
"SCOTTSDALE","7467 FRANK L WRIGHT","SCOTTSDALE","AZ",85260
"NORTH LAS VEGAS","6880 N 5TH STREET","NORTH LAS VEGAS","NV",89084
"TUCSON","4620 N ORACLE RD","TUCSON","AZ",85705
"PHOENIX (CAMELBACK)","9585 W. CAMELBACK RD.","PHOENIX","AZ",85037
"WEST JORDAN","7785 JORDAN LANDING BLVD.","WEST JORDAN","UT",84084
"ORO VALLEY","11545 N ORACLE ROAD","ORO VALLEY","AZ",85755
"WEST VALLEY CITY","3715 S CONSTITUTION BLVD","WEST VALLEY CITY","UT",84119
"REDWOOD CITY","949 VETERANS BLVD","REDWOOD CITY","CA",94063
"ESCONDIDO","1260 W VALLEY PARKWAY","ESCONDIDO","CA",92029
"WOODLAND","2011 BRONZE STAR DRIVE","WOODLAND","CA",95776
"OREM","350 E. UNIVERSITY PKWY","OREM","UT",84058
"TORRANCE","20150 HAWTHORNE BLVD","TORRANCE","CA",90503
"SEAL BEACH","12365 SEAL BEACH BLVD.","SEAL BEACH","CA",90740
"PLEASANTON","6015 JOHNSON DR.","PLEASANTON","CA",94588
"TUCSON","7111 E. BROADWAY BLVD","TUCSON","AZ",85710
"LAUGHLIN","2085 CASINO DR.","LAUGHLIN","NV",89029
"MIRA MESA","9410 MIRA MESA BLVD","SAN DIEGO","CA",92126
"ROCKWALL","1106 E. I-30","ROCKWALL","TX",75087
"DALLAS","7940 N. CENTRAL EXWY.","DALLAS","TX",75206
"HURST","780 AIRPORT FWY.","HURST","TX",76054
"SIGNAL HILL","799 E. SPRING ST.","SIGNAL HILL","CA",90755
"HESPERIA (MAIN ST.)","13074 MAIN STREET","HESPERIA","CA",92345
"SAN RAMON","2270 SAN RAMON VALLEY","SAN RAMON","CA",94583
"SAN LEANDRO","15575 HESPERIAN BLVD.","SAN LEANDRO","CA",94579
"ROHNERT PARK","5145 REDWOOD DR.","ROHNERT PARK","CA",94928
"SAN BERNARDINO (5TH STREET)","795 W. 5TH ST.","SAN BERNARDINO","CA",92410
"HIGHLAND","28009 GREENSPOT RD.","HIGHLAND","CA",92346
"SACRAMENTO","2001 ALTA ARDEN EXWY.","SACRAMENTO","CA",95825
